Participant ID,Condition,Round Number,Click Number,Click Time (ms),Is First Click,Is Last Click,Is Middle Click,Total Clicks in Round
67e47f18bd517bc7e964ffdb,monochrome,1,7,410,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,8,367,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,9,365,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,10,416,0,1,0,11
67e47f18bd517bc7e964ffdb,monochrome,2,0,559,1,0,0,11
67e47f18bd517bc7e964ffdb,monochrome,2,1,234,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,2,300,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,3,550,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,4,333,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,5,150,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,6,318,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,7,1448,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,8,1149,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,9,2383,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,2,10,1348,0,1,0,11
67e47f18bd517bc7e964ffdb,monochrome,3,0,609,1,0,0,11
67e47f18bd517bc7e964ffdb,monochrome,3,1,166,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,2,1598,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,3,701,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,4,500,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,5,1648,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,6,250,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,7,351,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,8,3219,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,9,4263,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,3,10,3034,0,1,0,11
67e47f18bd517bc7e964ffdb,monochrome,4,0,440,1,0,0,11
67e47f18bd517bc7e964ffdb,monochrome,4,1,434,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,2,166,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,3,208,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,4,158,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,5,216,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,6,286,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,7,1580,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,8,2167,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,9,3399,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,4,10,3901,0,1,0,11
67e47f18bd517bc7e964ffdb,monochrome,5,0,356,1,0,0,11
67e47f18bd517bc7e964ffdb,monochrome,5,1,335,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,2,183,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,3,232,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,4,288,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,5,263,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,6,365,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,7,168,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,8,150,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,9,185,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,5,10,1249,0,1,0,11
67e47f18bd517bc7e964ffdb,monochrome,6,0,474,1,0,0,11
67e47f18bd517bc7e964ffdb,monochrome,6,1,361,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,2,174,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,3,150,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,4,232,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,5,131,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,6,336,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,7,149,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,8,156,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,9,228,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,6,10,732,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,1,0,414,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,1,1,216,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,2,284,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,3,250,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,4,266,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,5,333,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,6,399,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,7,218,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,8,350,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,9,301,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,1,10,182,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,2,0,593,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,2,1,316,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,2,248,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,3,152,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,4,366,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,5,150,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,6,564,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,7,345,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,8,550,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,9,273,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,2,10,817,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,3,0,510,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,3,1,182,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,2,184,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,3,165,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,4,183,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,5,206,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,6,176,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,7,553,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,8,167,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,9,649,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,3,10,783,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,4,0,659,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,4,1,166,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,2,200,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,3,250,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,4,934,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,5,1083,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,6,584,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,7,613,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,8,835,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,9,817,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,4,10,1266,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,5,0,442,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,5,1,200,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,2,150,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,3,282,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,4,219,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,5,240,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,6,458,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,7,601,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,8,366,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,9,767,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,5,10,499,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,6,0,561,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,6,1,183,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,2,384,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,3,168,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,4,451,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,5,545,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,6,769,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,7,516,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,8,718,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,9,316,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,6,10,866,0,1,0,11
67e4814abd517bc7e964fffe,monochrome,7,0,607,1,0,0,11
67e4814abd517bc7e964fffe,monochrome,7,1,183,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,2,251,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,3,384,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,4,197,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,5,179,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,6,390,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,7,166,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,8,801,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,9,597,0,0,1,11
67e4814abd517bc7e964fffe,monochrome,7,10,486,0,1,0,11
67e4814abd517bc7e964fffe,color,1,0,492,1,0,0,11
67e4814abd517bc7e964fffe,color,1,1,169,0,0,1,11
67e4814abd517bc7e964fffe,color,1,2,200,0,0,1,11
67e4814abd517bc7e964fffe,color,1,3,180,0,0,1,11
67e4814abd517bc7e964fffe,color,1,4,250,0,0,1,11
67e4814abd517bc7e964fffe,color,1,5,184,0,0,1,11
67e4814abd517bc7e964fffe,color,1,6,466,0,0,1,11
67e4814abd517bc7e964fffe,color,1,7,251,0,0,1,11
67e4814abd517bc7e964fffe,color,1,8,399,0,0,1,11
67e4814abd517bc7e964fffe,color,1,9,351,0,0,1,11
67e4814abd517bc7e964fffe,color,1,10,225,0,1,0,11
67e4814abd517bc7e964fffe,color,2,0,384,1,0,0,11
67e4814abd517bc7e964fffe,color,2,1,301,0,0,1,11
67e4814abd517bc7e964fffe,color,2,2,148,0,0,1,11
67e4814abd517bc7e964fffe,color,2,3,199,0,0,1,11
67e4814abd517bc7e964fffe,color,2,4,167,0,0,1,11
67e4814abd517bc7e964fffe,color,2,5,200,0,0,1,11
67e4814abd517bc7e964fffe,color,2,6,466,0,0,1,11
67e4814abd517bc7e964fffe,color,2,7,351,0,0,1,11
67e4814abd517bc7e964fffe,color,2,8,533,0,0,1,11
67e4814abd517bc7e964fffe,color,2,9,333,0,0,1,11
67e4814abd517bc7e964fffe,color,2,10,451,0,1,0,11
67e4814abd517bc7e964fffe,color,3,0,409,1,0,0,11
67e4814abd517bc7e964fffe,color,3,1,175,0,0,1,11
67e4814abd517bc7e964fffe,color,3,2,225,0,0,1,11
67e4814abd517bc7e964fffe,color,3,3,250,0,0,1,11
67e4814abd517bc7e964fffe,color,3,4,248,0,0,1,11
67e4814abd517bc7e964fffe,color,3,5,227,0,0,1,11
67e4814abd517bc7e964fffe,color,3,6,172,0,0,1,11
67e4814abd517bc7e964fffe,color,3,7,152,0,0,1,11
67e4814abd517bc7e964fffe,color,3,8,302,0,0,1,11
67e4814abd517bc7e964fffe,color,3,9,564,0,0,1,11
67e4814abd517bc7e964fffe,color,3,10,784,0,1,0,11
67e4814abd517bc7e964fffe,color,4,0,427,1,0,0,11
67e4814abd517bc7e964fffe,color,4,1,166,0,0,1,11
67e4814abd517bc7e964fffe,color,4,2,262,0,0,1,11
67e4814abd517bc7e964fffe,color,4,3,454,0,0,1,11
67e4814abd517bc7e964fffe,color,4,4,235,0,0,1,11
67e4814abd517bc7e964fffe,color,4,5,478,0,0,1,11
67e4814abd517bc7e964fffe,color,4,6,171,0,0,1,11
67e4814abd517bc7e964fffe,color,4,7,199,0,0,1,11
67e4814abd517bc7e964fffe,color,4,8,768,0,0,1,11
67e4814abd517bc7e964fffe,color,4,9,617,0,0,1,11
67e4814abd517bc7e964fffe,color,4,10,534,0,1,0,11
67e4814abd517bc7e964fffe,color,5,0,607,1,0,0,11
67e4814abd517bc7e964fffe,color,5,1,200,0,0,1,11
67e4814abd517bc7e964fffe,color,5,2,850,0,0,1,11
67e4814abd517bc7e964fffe,color,5,3,215,0,0,1,11
67e4814abd517bc7e964fffe,color,5,4,401,0,0,1,11
67e4814abd517bc7e964fffe,color,5,5,585,0,0,1,11
67e4814abd517bc7e964fffe,color,5,6,380,0,0,1,11
67e4814abd517bc7e964fffe,color,5,7,1268,0,0,1,11
67e4814abd517bc7e964fffe,color,5,8,481,0,0,1,11
67e4814abd517bc7e964fffe,color,5,9,2118,0,0,1,11
67e4814abd517bc7e964fffe,color,5,10,1267,0,1,0,11
